Epoch,Loss,Gradient,Gradient_Variance
1,1.7148272010919987,0.5033959,
2,1.9643908886712351,0.5486975,
3,1.9632898537126295,0.552168,
4,1.9621690215906764,0.55566734,
5,1.9610308191371417,0.5591881,
6,1.9598750483465137,0.56272817,
7,1.708578336437305,0.5226662,
8,1.7074838203854983,0.52592933,
9,1.9563213025665371,0.57340306,
10,1.7052631512952785,0.532449,
11,1.7041255551931198,0.535738,
12,1.7029758593499071,0.539029,
13,1.701811447135503,0.5423271,
14,1.7006304180975793,0.5456368,
15,1.9487869548163452,0.5950282,
16,1.9474598630639277,0.5987021,
17,2.195243580046827,0.6491379,
18,1.9447005040107959,0.60621953,
19,1.6943437395956287,0.5626904,
20,1.941808266392199,0.6139296,
21,1.940332560019052,0.6177964,
22,1.4416816026172576,0.5249026,
23,1.6888526081591864,0.57685506,
24,1.9357909852303354,0.62943166,
25,2.1824645725843133,0.6827055,
26,1.9326578730498858,0.6372307,
27,1.6830632484553427,0.59110475,
28,2.1772032445149305,0.695698,
29,1.9276895686994524,0.64923966,
30,1.9259665910307673,0.6533049,
,,,0.012333187
