Epoch,Loss,Gradient,Gradient_Variance
1,1.9922361327127804,0.14860898,
2,1.9837058975481228,0.23466025,
3,1.9688110307117486,0.33344585,
4,1.9468187847382095,0.4361381,
5,1.9172384113521803,0.5377953,
6,1.8810587908542575,0.63162094,
7,1.8392969382699613,0.7140932,
8,1.793798741333183,0.7814703,
9,1.7441890857133313,0.8368688,
10,1.692896351430849,0.87787074,
11,1.6415446252277444,0.903103,
12,1.5899063337150383,0.91617525,
13,1.5404140373988766,0.9164657,
14,1.491992801298314,0.9076553,
15,1.447273832328625,0.8903133,
16,1.4047207079449158,0.8659336,
17,1.3653788886028722,0.8369919,
18,1.3295949754241632,0.8042875,
19,1.2961841654717579,0.7764667,
20,1.2667515505224454,0.73158747,
21,1.2392232751556447,0.69427544,
22,1.2148498235861804,0.6685345,
23,1.1928320816652005,0.62826526,
24,1.1729294110408184,0.5846266,
25,1.155272286588951,0.5511471,
26,1.139965511502645,0.5425853,
27,1.1260098376398868,0.534375,
28,1.1126491788857298,0.46672064,
29,1.1022016621380228,0.45674106,
30,1.091871114285431,0.42275947,
,,,0.11389099
