Epoch,Loss,Gradient,Gradient_Variance
1,1.678549619872438,0.8633255,
2,1.677499597200736,0.86438125,
3,1.676448025656993,0.8654322,
4,1.6753941798697578,0.8664775,
5,1.6743377812493676,0.8675169,
6,1.6732795177847672,0.86855114,
7,1.672219979918064,0.86958134,
8,1.671156929224836,0.87060446,
9,1.67009202580396,0.87162286,
10,1.6690260412268134,0.87263715,
11,1.6679566600466897,0.8736448,
12,1.6668855061126753,0.87464774,
13,1.6658119625099794,0.87564516,
14,1.6647359357819371,0.87663686,
15,1.663658109992139,0.877624,
16,1.6625770365364878,0.87860477,
17,1.6614946694668675,0.8795813,
18,1.6604093898654648,0.88055176,
19,1.6593217938507339,0.88151705,
20,1.6582319506863912,0.8824771,
21,1.6571403030689005,0.8834323,
22,1.6560452694019847,0.8843809,
23,1.6549475461257397,0.88532376,
24,1.6538483077362736,0.8862622,
25,1.6527464793971214,0.887195,
26,1.6516408507867342,0.88812053,
27,1.6505347358280096,0.8890429,
28,1.6494248238370939,0.88995844,
29,1.6483135535153939,0.89086956,
30,1.647198417848617,0.89177334,
,,,7.2146766e-05
