Epoch,Loss,Gradient,Gradient_Variance
1,1.117464140703011,0.7647844,
2,1.1164027422049487,0.7634779,
3,1.1153432736314077,0.7621679,
4,1.114285690991555,0.7608545,
5,1.113230080797092,0.75953764,
6,1.1121764480182454,0.75821745,
7,1.111124641775355,0.75689363,
8,1.110074982092834,0.7555666,
9,1.1090274249947385,0.7542366,
10,1.1079818942627768,0.7529031,
11,1.1069385908996925,0.7515668,
12,1.1058973689837022,0.7502274,
13,1.1048583705699808,0.74888486,
14,1.103821706605153,0.7475398,
15,1.1027871619110858,0.7461915,
16,1.101755075509715,0.7448409,
17,1.1007251944620757,0.74348706,
18,1.0996977937598686,0.7421312,
19,1.0986726902853972,0.74077225,
20,1.0976500352462304,0.73941094,
21,1.0966298175574005,0.7380472,
22,1.0956120221018075,0.73668087,
23,1.094596870094705,0.73531276,
24,1.093584035020405,0.73394173,
25,1.0925737525073727,0.7325685,
26,1.0915661521876479,0.7311934,
27,1.0905609600424047,0.7298159,
28,1.0895585355847839,0.72843665,
29,1.0885586466946313,0.7270553,
30,1.0875613265213007,0.72567177,
,,,0.00013643829
